ID,Name,Environmental data? Y/N/Part,"Priority (1,2,3)"
org-act-www.data.act.gov.au,www.data.act.gov.au,,
org-aodn-045b115339a0cd4f63223d1b1917ecc97b2bd4e5b47de4c5aeaee1165c505264,"Australian Government Department of Sustainability, Environment, Water, Population and Communities",Y,
org-aodn-213f47222ca004c55c19e76e51c1da4956b19487853875bf31f0571b7ae3bde5,"Defence Science and Technology Organisation (DSTO), Department of Defence (DoD), Australian Government",,
org-aodn-46f826e9d11a3e9818d345c12b8358bb4c393ebd4c9af342180605c91bcf1e10,"Global Change Data Center, Science and Exploration Directorate, Goddard Space Flight Center (GSFC) National Aeronautics and Space Administration (NASA)",Y,
org-aodn-6d5ffbab2c970417ca8fb4ee6fa4c2f44fea8961076200f854be27cc9fa9082c,"Centre for Research on Ecological Impacts of Coastal Cities (EICC), The University of Sydney (USYD)",Y,
org-aodn-7102d3bfa068f57d40866ebec2cd745d475d8d0056d553a9dab2abbff57944a6,"Department of Primary Industries, Parks, Water and Environment (DPIPWE), Tasmanian Government",Y,
org-aodn-77ef5f5349ec99191f97eee0951eb63a4d6d352b6fbd1048db28b7a458855a35,"Earth System Research Laboratory (ESRL), National Oceanic and Atmospheric Administration (NOAA)",Y,
org-aodn-AGSO-Geoscience Australia,AGSO-Geoscience Australia,Y,
org-aodn-Antarctic Climate and Ecosystems Cooperative Research Centre (ACE CRC),Antarctic Climate and Ecosystems Cooperative Research Centre (ACE CRC),Y,
org-aodn-ANZLIC the Spatial Information Council,ANZLIC the Spatial Information Council,,
org-aodn-Apache Energy - GIS Department,Apache Energy - GIS Department,Y,
org-aodn-Australia Ocean Data Centre Joint Facility (AODCJF),Australia Ocean Data Centre Joint Facility (AODCJF),Y,
org-aodn-Australian Bureau of Meteorology,Australian Bureau of Meteorology,Y,
org-aodn-Australian Bureau of Statistics (ABS),Australian Bureau of Statistics (ABS),,
org-aodn-Australian Defence Force Academy (ADFA),Australian Defence Force Academy (ADFA),,
org-aodn-Australian Geological Survey Organisation,Australian Geological Survey Organisation,Y,
org-aodn-Australian Government Department of the Environment,Australian Government Department of the Environment,Y,
org-aodn-Australian Government Department of the Environment and Heritag,Australian Government Department of the Environment and Heritag,Y,
org-aodn-Australian Institute of Marine Science (AIMS),Australian Institute of Marine Science (AIMS),Y,
org-aodn-Australian Ocean Data Centre Joint Facility,Australian Ocean Data Centre Joint Facility,Y,
org-aodn-Australian Ocean Data Centre Joint Facility (AODCJF),Australian Ocean Data Centre Joint Facility (AODCJF),Y,
org-aodn-BlueNet,BlueNet,Y,
org-aodn-BMT Oceanica,BMT Oceanica,Y,
org-aodn-Bundesamt Fur Seeschifffahrt Und Hydrographie (BSH),Bundesamt Fur Seeschifffahrt Und Hydrographie (BSH),Y,
org-aodn-Bureau of Meteorology (BOM),Bureau of Meteorology (BOM),Y,
"org-aodn-Bureau of Mineral Resources, Geology and Geophysics","Bureau of Mineral Resources, Geology and Geophysics",Y,
org-aodn-Busselton Underwater Observatory,Busselton Underwater Observatory,Y,
"org-aodn-Centre for Marine Futures, The University of Western Australia (UWA)","Centre for Marine Futures, The University of Western Australia (UWA)",Y,
"org-aodn-Centre for Tropical Waters and Aquatic Research (TropWATER), James Cook University (JCU)","Centre for Tropical Waters and Aquatic Research (TropWATER), James Cook University (JCU)",Y,
org-aodn-Coastalwatch,Coastalwatch,Y,
org-aodn-Commonwealth of Australia (Australian Geospatial-Intelligence Organisation),Commonwealth of Australia (Australian Geospatial-Intelligence Organisation),Y,
org-aodn-Commonwealth of Australia (Geoscience Australia),Commonwealth of Australia (Geoscience Australia),Y,
"org-aodn-Coral Reef Studies ARC Centre of Excellence, James Cook University","Coral Reef Studies ARC Centre of Excellence, James Cook University",Y,
"org-aodn-Crawford School of Public Policy (CSPP), The Australian National University (ANU)","Crawford School of Public Policy (CSPP), The Australian National University (ANU)",Related Policies,
org-aodn-CSIRO Marine and Atmospheric Research,CSIRO Marine and Atmospheric Research,Y,
org-aodn-CSIRO Oceans and Atmosphere - Hobart,CSIRO Oceans and Atmosphere - Hobart,Y,
"org-aodn-Department of Agriculture and Fisheries, Queensland Government","Department of Agriculture and Fisheries, Queensland Government",Y,
"org-aodn-Department of Conservation and Environment, West Australian Government","Department of Conservation and Environment, West Australian Government",Y,
org-aodn-Department of Environment and Heritage Protection,Department of Environment and Heritage Protection,Y,
"org-aodn-Department of Environment and Heritage Protection, Queensland Government","Department of Environment and Heritage Protection, Queensland Government",Y,
"org-aodn-Department of Environment and Natural Resources (DENR), Northern Territory Government","Department of Environment and Natural Resources (DENR), Northern Territory Government",Y,
org-aodn-Department of Fisheries,Department of Fisheries,Y,
